epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,759.381,1.94384,1.12612,0.0049,0.71617,0.66602,0.68528,0.3584,1.91189,1.0555,0.00534,0.0007228,0.0007228,0.0007228
44,777.493,1.97942,1.13785,0.00456,0.72705,0.64556,0.67505,0.37513,1.82053,1.00358,0.00471,0.0007162,0.0007162,0.0007162
45,795.516,1.95981,1.17806,0.00484,0.72511,0.64584,0.67647,0.33662,1.98285,1.08439,0.00552,0.0007096,0.0007096,0.0007096
46,813.14,1.8951,1.11928,0.00482,0.68105,0.6806,0.68065,0.33544,1.99659,1.00078,0.00568,0.000703,0.000703,0.000703
47,830.824,1.93229,1.10277,0.00469,0.68559,0.66748,0.68608,0.35346,1.97787,1.00517,0.00567,0.0006964,0.0006964,0.0006964
48,848.497,1.95026,1.11839,0.00477,0.76246,0.65831,0.69842,0.38358,1.81966,1.05354,0.00475,0.0006898,0.0006898,0.0006898
49,866.309,1.92604,1.08513,0.00449,0.72011,0.69147,0.7107,0.38679,1.84702,0.96512,0.00486,0.0006832,0.0006832,0.0006832
50,884.113,1.90934,1.08929,0.0044,0.69149,0.67204,0.70092,0.37219,1.90765,0.9387,0.00533,0.0006766,0.0006766,0.0006766
51,901.789,1.88866,1.06612,0.00433,0.74775,0.66728,0.71288,0.37574,1.87082,0.95731,0.00513,0.00067,0.00067,0.00067
52,919.413,1.891,1.06442,0.00449,0.72458,0.66379,0.69556,0.3229,2.10603,1.02389,0.00627,0.0006634,0.0006634,0.0006634
53,937.197,1.91569,1.11071,0.00442,0.7615,0.67039,0.71506,0.36302,1.93079,1.00388,0.0055,0.0006568,0.0006568,0.0006568
54,954.852,1.88883,1.0761,0.00439,0.74458,0.67388,0.70965,0.35108,1.96956,1.00461,0.00563,0.0006502,0.0006502,0.0006502
55,972.492,1.89968,1.10358,0.00428,0.75821,0.66528,0.71549,0.37554,1.89344,0.95273,0.00539,0.0006436,0.0006436,0.0006436
56,990.126,1.90396,1.06332,0.00434,0.68053,0.68224,0.72224,0.36976,1.89094,0.95442,0.00545,0.000637,0.000637,0.000637
57,1008.03,1.88706,1.06657,0.00431,0.71751,0.70974,0.71117,0.36798,1.99241,0.94697,0.00559,0.0006304,0.0006304,0.0006304
58,1025.93,1.88881,1.10936,0.00461,0.7567,0.68604,0.7356,0.37428,1.89492,0.95143,0.00524,0.0006238,0.0006238,0.0006238
59,1043.67,1.87059,1.10791,0.00458,0.69165,0.7081,0.72518,0.3449,2.0061,0.98435,0.00555,0.0006172,0.0006172,0.0006172
60,1061.33,1.85446,1.06696,0.0045,0.77491,0.67818,0.72427,0.34218,2.03383,0.96704,0.00593,0.0006106,0.0006106,0.0006106
61,1078.9,1.85667,1.06772,0.00449,0.74863,0.73561,0.74336,0.37938,1.91732,0.92275,0.00564,0.000604,0.000604,0.000604
62,1096.41,1.86154,1.04346,0.00438,0.72001,0.69293,0.71969,0.35395,1.97503,0.94997,0.0057,0.0005974,0.0005974,0.0005974
63,1114.02,1.81984,1.01456,0.00423,0.75851,0.67708,0.72091,0.33487,2.07577,1.01908,0.00614,0.0005908,0.0005908,0.0005908
64,1132.09,1.84756,1.02506,0.00422,0.76039,0.68222,0.73349,0.34279,2.07753,0.99473,0.00611,0.0005842,0.0005842,0.0005842
65,1150,1.88277,1.0551,0.00415,0.81536,0.67105,0.75062,0.37349,1.97834,0.94232,0.00568,0.0005776,0.0005776,0.0005776
66,1167.66,1.83863,1.02181,0.00428,0.80982,0.6472,0.74432,0.37744,1.93169,0.92934,0.00533,0.000571,0.000571,0.000571
67,1185.29,1.79191,1.00859,0.00431,0.78806,0.691,0.73908,0.38688,1.96254,0.9149,0.0054,0.0005644,0.0005644,0.0005644
68,1203.25,1.89106,1.07797,0.00437,0.80988,0.6943,0.7543,0.39255,1.92312,0.91229,0.00542,0.0005578,0.0005578,0.0005578
69,1220.91,1.81784,1.01389,0.00413,0.75187,0.69208,0.7366,0.37368,1.95943,0.91481,0.00541,0.0005512,0.0005512,0.0005512
70,1238.55,1.82255,1.03157,0.00429,0.79529,0.71686,0.78371,0.3855,1.94483,0.92314,0.00542,0.0005446,0.0005446,0.0005446
71,1256.18,1.76292,1.00942,0.00413,0.79591,0.67044,0.76218,0.36018,2.05955,0.93629,0.00578,0.000538,0.000538,0.000538
72,1273.75,1.79762,0.97054,0.00432,0.78828,0.69442,0.76596,0.38285,1.88764,0.91885,0.00526,0.0005314,0.0005314,0.0005314
73,1291.48,1.77431,0.98913,0.00398,0.77332,0.67926,0.74348,0.36065,1.98494,0.90728,0.00541,0.0005248,0.0005248,0.0005248
74,1309.16,1.80494,0.98593,0.00407,0.72245,0.72634,0.74949,0.33709,2.07271,0.9373,0.00618,0.0005182,0.0005182,0.0005182
75,1326.86,1.80629,0.98695,0.00413,0.74845,0.72049,0.75318,0.35654,2.02073,0.89322,0.00569,0.0005116,0.0005116,0.0005116
76,1344.33,1.76553,0.96788,0.00407,0.73245,0.73459,0.75695,0.35922,2.00966,0.94567,0.00562,0.000505,0.000505,0.000505
77,1362.05,1.80381,1.00695,0.0042,0.77389,0.73314,0.76859,0.35488,2.02916,0.93304,0.00581,0.0004984,0.0004984,0.0004984
78,1379.85,1.77302,0.97697,0.00389,0.72682,0.72324,0.75021,0.34037,2.13575,0.93529,0.00636,0.0004918,0.0004918,0.0004918
79,1397.5,1.70145,0.96379,0.0038,0.83258,0.69302,0.77945,0.35854,2.06098,0.92838,0.00604,0.0004852,0.0004852,0.0004852
80,1415.02,1.74186,0.96529,0.00405,0.76094,0.7428,0.77149,0.38473,1.99621,0.929,0.00572,0.0004786,0.0004786,0.0004786
81,1432.46,1.80653,0.97154,0.00383,0.78348,0.73535,0.77741,0.38003,1.98602,0.90435,0.00557,0.000472,0.000472,0.000472
